data,fechamento_ibov,fechamento_dolar
2002-01-02,13586.0,2.302
2002-01-03,14125.0,2.295
2002-01-04,14250.0,2.331
2002-01-07,14327.0,2.327
2002-01-08,14385.0,2.374
2002-01-09,14157.0,2.375
2002-01-10,14010.0,2.423
2002-01-11,13554.0,2.4
2002-01-14,13594.0,2.395
2002-01-15,13131.0,2.375
2002-01-16,13006.0,2.364
2002-01-17,13109.0,2.382
2002-01-18,13340.0,2.3645
2002-01-21,13367.0,2.37
2002-01-22,13177.0,2.38
2002-01-23,13025.0,2.378
2002-01-24,13239.0,2.396
2002-01-28,13161.0,2.428
2002-01-29,13010.0,2.436
2002-01-30,12512.0,2.432
2002-01-31,12563.0,2.413
2002-02-01,12723.0,2.41
2002-02-04,12648.0,2.425
2002-02-05,12557.0,2.42
2002-02-06,12751.0,2.439
2002-02-07,12752.0,2.462
2002-02-08,12684.0,2.459
2002-02-13,12599.0,2.41
2002-02-14,12962.0,2.4305
2002-02-15,13222.0,2.4265
2002-02-18,13208.0,2.4315
2002-02-19,13125.0,2.424
2002-02-20,13001.0,2.42
2002-02-21,13328.0,2.422
2002-02-22,13535.0,2.422
2002-02-25,13567.0,2.394
2002-02-26,13975.0,2.394
2002-02-27,13978.0,2.356
2002-02-28,14216.0,2.365
2002-03-01,14047.0,2.344
2002-03-04,14373.0,2.324
2002-03-05,14455.0,2.331
2002-03-06,14007.0,2.367
2002-03-07,13836.0,2.375
2002-03-08,13783.0,2.351
2002-03-11,13959.0,2.356
2002-03-12,13717.0,2.329
2002-03-13,14191.0,2.349
2002-03-14,14240.0,2.343
2002-03-15,14120.0,2.346
2002-03-18,14366.0,2.341
2002-03-19,14266.0,2.342
2002-03-20,14123.0,2.344
2002-03-21,14086.0,2.3425
2002-03-22,13723.0,2.3615
2002-03-25,13359.0,2.365
2002-03-26,13309.0,2.3465
2002-03-27,13569.0,2.323
2002-03-28,13428.0,2.325
2002-04-01,13256.0,2.3025
2002-04-02,13482.0,2.298
2002-04-03,13280.0,2.3155
2002-04-04,13090.0,2.301
2002-04-05,13362.0,2.277
2002-04-08,13248.0,2.2925
2002-04-09,13165.0,2.279
2002-04-10,13183.0,2.266
2002-04-11,13419.0,2.2815
2002-04-12,13418.0,2.294
2002-04-15,13772.0,2.321
2002-04-16,13476.0,2.3205
2002-04-17,13633.0,2.323
2002-04-18,13729.0,2.325
2002-04-19,13568.0,2.3325
2002-04-22,13484.0,2.343
2002-04-23,13224.0,2.3605
2002-04-24,13182.0,2.351
2002-04-25,13384.0,2.364
2002-04-26,13273.0,2.371
2002-04-29,13076.0,2.364
2002-04-30,13096.0,2.361
2002-05-02,13088.0,2.398
2002-05-03,12557.0,2.406
2002-05-06,12594.0,2.419
2002-05-07,12433.0,2.434
2002-05-08,12353.0,2.4385
2002-05-09,12602.0,2.4715
2002-05-10,12106.0,2.461
2002-05-13,12147.0,2.519
2002-05-14,11999.0,2.507
2002-05-15,12207.0,2.5035
2002-05-16,12396.0,2.466
2002-05-17,12665.0,2.475
2002-05-20,12700.0,2.4825
2002-05-21,12674.0,2.482
2002-05-22,12697.0,2.526
2002-05-23,12380.0,2.528
2002-05-24,12544.0,2.519
2002-05-27,12578.0,2.524
2002-05-28,12703.0,2.5275
2002-05-29,12728.0,2.511
2002-05-31,12992.0,2.518
2002-06-03,12859.0,2.535
2002-06-04,12637.0,2.6055
2002-06-05,12580.0,2.606
2002-06-06,12591.0,2.661
2002-06-07,12051.0,2.636
2002-06-10,12306.0,2.635
2002-06-11,12609.0,2.7215
2002-06-12,12221.0,2.78
2002-06-13,12133.0,2.707
2002-06-14,11985.0,2.716
2002-06-17,11705.0,2.6515
2002-06-18,11942.0,2.714
2002-06-19,11822.0,2.7065
2002-06-20,11508.0,2.774
2002-06-21,10917.0,2.83
2002-06-24,10438.0,2.778
2002-06-25,10773.0,2.8205
2002-06-26,10676.0,2.854
2002-06-27,10690.0,2.823
2002-06-28,11018.0,2.8175
2002-07-01,11138.0,2.897
2002-07-02,10891.0,2.894
2002-07-03,10854.0,2.86
2002-07-04,10661.0,2.856
2002-07-05,10663.0,2.881
2002-07-08,10524.0,2.861
2002-07-10,10690.0,2.847
2002-07-11,10545.0,2.793
2002-07-12,10811.0,2.81
2002-07-15,10966.0,2.854
2002-07-16,10646.0,2.874
2002-07-17,10589.0,2.896
2002-07-18,10755.0,2.85
2002-07-19,10813.0,2.869
2002-07-22,10568.0,2.9065
2002-07-23,9900.0,2.918
2002-07-24,9739.0,2.943
2002-07-25,9947.0,2.994
2002-07-26,9672.0,3.005
2002-07-29,9251.0,3.265
2002-07-30,9247.0,3.353
2002-07-31,9346.0,3.46
2002-08-01,9782.0,3.115
2002-08-02,9768.0,3.005
2002-08-05,9848.0,3.17
2002-08-06,9472.0,3.08
2002-08-07,9766.0,3.015
2002-08-08,9911.0,2.93
2002-08-09,10315.0,3.0225
2002-08-12,10008.0,3.155
2002-08-13,9724.0,3.1625
2002-08-14,9461.0,3.19
2002-08-15,9373.0,3.2075
2002-08-16,9213.0,3.1225
2002-08-19,9512.0,3.096
2002-08-20,9455.0,3.1
2002-08-21,9270.0,3.084
2002-08-22,9441.0,3.144
2002-08-23,9710.0,3.111
2002-08-26,9690.0,3.091
2002-08-27,10118.0,3.133
2002-08-28,10383.0,3.121
2002-08-29,10351.0,3.069
2002-08-30,10465.0,3.0075
2002-09-02,10383.0,3.061
2002-09-03,10365.0,3.098
2002-09-04,10167.0,3.1125
2002-09-05,9993.0,3.1525
2002-09-06,9739.0,3.1575
2002-09-09,9725.0,3.101
2002-09-10,9962.0,3.1255
2002-09-11,9967.0,3.101
2002-09-12,10182.0,3.127
2002-09-13,10156.0,3.1575
2002-09-16,10171.0,3.214
2002-09-17,9855.0,3.2715
2002-09-18,9626.0,3.3525
2002-09-19,9512.0,3.447
2002-09-20,9375.0,3.399
2002-09-23,9575.0,3.57
2002-09-24,9245.0,3.775
2002-09-25,9207.0,3.6985
2002-09-26,9251.0,3.757
2002-09-27,9200.0,3.871
2002-09-30,8718.0,3.76
2002-10-01,8642.0,3.595
2002-10-02,9011.0,3.658
2002-10-03,8852.0,3.69
2002-10-04,9151.0,3.615
2002-10-07,9268.0,3.665
2002-10-08,8870.0,3.728
2002-10-09,8838.0,3.905
2002-10-10,8708.0,3.95
2002-10-11,8864.0,3.81
2002-10-14,8853.0,3.83
2002-10-15,8452.0,3.84
2002-10-16,8510.0,3.95
2002-10-17,8397.0,3.905
2002-10-18,8902.0,3.875
2002-10-21,9022.0,3.937
2002-10-22,9099.0,3.906
2002-10-23,9342.0,3.908
2002-10-24,9832.0,3.805
2002-10-25,9807.0,3.73
2002-10-28,10022.0,3.801
2002-10-29,9570.0,3.815
2002-10-30,9602.0,3.715
2002-10-31,10099.0,3.65
2002-11-01,10172.0,3.596
2002-11-04,10147.0,3.555
2002-11-05,9904.0,3.543
2002-11-06,9857.0,3.657
2002-11-07,9734.0,3.585
2002-11-08,9859.0,3.541
2002-11-11,9873.0,3.525
2002-11-12,9864.0,3.621
2002-11-13,9721.0,3.657
2002-11-14,9762.0,3.683
2002-11-18,9910.0,3.57
2002-11-19,9971.0,3.524
2002-11-20,9983.0,3.515
2002-11-21,10105.0,3.5255
2002-11-22,10288.0,3.555
2002-11-25,10407.0,3.5525
2002-11-26,10243.0,3.603
2002-11-27,10142.0,3.611
2002-11-28,10222.0,3.601
2002-11-29,10250.0,3.653
2002-12-02,10517.0,3.609
2002-12-03,10672.0,3.669
2002-12-04,10664.0,3.7155
2002-12-05,10645.0,3.784
2002-12-06,10414.0,3.748
2002-12-09,10562.0,3.789
2002-12-10,10345.0,3.807
2002-12-11,10340.0,3.749
2002-12-12,10617.0,3.792
2002-12-13,10598.0,3.73
2002-12-16,10620.0,3.617
2002-12-17,10778.0,3.585
2002-12-18,10833.0,3.524
2002-12-19,10987.0,3.474
2002-12-20,11275.0,3.488
2002-12-23,11493.0,3.505
2002-12-26,11475.0,3.583
2002-12-27,11326.0,3.5375
2002-12-30,11235.0,3.536
2003-01-02,11291.0,3.526
2003-01-03,11632.0,3.439
2003-01-06,11636.0,3.338
2003-01-07,12010.0,3.2825
2003-01-08,11875.0,3.343
2003-01-09,11814.0,3.316
2003-01-10,11925.0,3.299
2003-01-13,12243.0,3.295
2003-01-14,12131.0,3.26
2003-01-15,12151.0,3.3145
2003-01-16,11973.0,3.322
2003-01-17,11952.0,3.372
2003-01-20,11675.0,3.415
2003-01-21,11610.0,3.49
2003-01-22,11428.0,3.534
2003-01-23,11148.0,3.531
2003-01-24,11157.0,3.6225
2003-01-27,10768.0,3.639
2003-01-28,10534.0,3.6375
2003-01-29,10514.0,3.576
2003-01-30,10873.0,3.5415
2003-01-31,10761.0,3.504
2003-02-03,10943.0,3.517
2003-02-04,10879.0,3.5735
2003-02-05,10581.0,3.5925
2003-02-06,10587.0,3.59
2003-02-07,10567.0,3.587
2003-02-10,10388.0,3.586
2003-02-11,10491.0,3.591
2003-02-12,10512.0,3.607
2003-02-13,10509.0,3.659
2003-02-14,10103.0,3.66
2003-02-17,10089.0,3.611
2003-02-18,10192.0,3.592
2003-02-19,10434.0,3.6125
2003-02-20,10259.0,3.609
2003-02-21,10222.0,3.6225
2003-02-24,10334.0,3.565
2003-02-25,10231.0,3.5835
2003-02-26,10192.0,3.586
2003-02-27,10006.0,3.5545
2003-02-28,10153.0,3.57
2003-03-05,10263.0,3.5525
2003-03-06,10311.0,3.48
2003-03-07,10608.0,3.4975
2003-03-10,10695.0,3.5285
2003-03-11,10314.0,3.4925
2003-03-12,10343.0,3.4675
2003-03-13,10606.0,3.409
2003-03-14,10792.0,3.4325
2003-03-17,10783.0,3.4335
2003-03-18,10891.0,3.454
2003-03-19,11143.0,3.458
2003-03-20,10993.0,3.474
2003-03-21,11176.0,3.403
2003-03-24,11362.0,3.3765
2003-03-25,11047.0,3.355
2003-03-26,11248.0,3.3885
2003-03-27,11204.0,3.3815
2003-03-28,11273.0,3.3595
2003-03-31,11387.0,3.364
2003-04-01,11283.0,3.307
2003-04-02,11615.0,3.2615
2003-04-03,11877.0,3.262
2003-04-04,12014.0,3.223
2003-04-07,12154.0,3.1415
2003-04-08,12124.0,3.194
2003-04-09,11784.0,3.206
2003-04-10,11784.0,3.2285
2003-04-11,11614.0,3.202
2003-04-14,11726.0,3.1605
2003-04-15,11865.0,3.071
2003-04-16,12120.0,3.0925
2003-04-17,12052.0,3.036
2003-04-22,12393.0,3.0395
2003-04-23,12455.0,2.909
2003-04-24,12370.0,3.018
2003-04-25,12124.0,3.009
2003-04-28,12128.0,2.958
2003-04-29,12470.0,2.9355
2003-04-30,12713.0,2.911
2003-05-02,12565.0,2.9675
2003-05-05,12829.0,3.0455
2003-05-06,12829.0,3.0125
2003-05-07,12669.0,2.949
2003-05-08,12969.0,2.894
2003-05-09,12950.0,2.8725
2003-05-12,13206.0,2.8675
2003-05-13,13322.0,2.887
2003-05-14,13428.0,2.9205
2003-05-15,13465.0,3.0025
2003-05-16,13143.0,2.9425
2003-05-19,13179.0,2.993
2003-05-20,12753.0,3.0165
2003-05-21,12749.0,3.0085
2003-05-22,13031.0,2.9665
2003-05-23,13101.0,2.915
2003-05-26,13149.0,3.0645
2003-05-27,12861.0,3.011
2003-05-28,13257.0,3.005
2003-05-29,13303.0,2.9425
2003-05-30,13413.0,2.9735
2003-06-02,13441.0,2.959
2003-06-03,13231.0,2.925
2003-06-04,13386.0,2.914
2003-06-05,13690.0,2.8485
2003-06-06,13794.0,2.8765
2003-06-09,13926.0,2.8705
2003-06-10,13869.0,2.868
2003-06-11,13898.0,2.8485
2003-06-12,13901.0,2.8645
2003-06-13,13980.0,2.839
2003-06-16,13737.0,2.8725
2003-06-17,13843.0,2.873
2003-06-18,13790.0,2.8875
2003-06-20,13514.0,2.8925
2003-06-23,13132.0,2.8605
2003-06-24,12993.0,2.8635
2003-06-25,13110.0,2.887
2003-06-26,13031.0,2.896
2003-06-27,13112.0,2.879
2003-06-30,13027.0,2.837
2003-07-01,12967.0,2.8325
2003-07-02,13292.0,2.83
2003-07-03,13308.0,2.8235
2003-07-04,13135.0,2.8375
2003-07-07,13274.0,2.8835
2003-07-08,13401.0,2.8685
2003-07-10,13622.0,2.891
2003-07-11,13498.0,2.892
2003-07-14,13322.0,2.8655
2003-07-15,13593.0,2.864
2003-07-16,13613.0,2.8455
2003-07-17,13487.0,2.8705
2003-07-18,13622.0,2.888
2003-07-21,13794.0,2.8745
2003-07-22,13676.0,2.8815
2003-07-23,13852.0,2.8955
2003-07-24,13799.0,2.8875
2003-07-25,13761.0,2.8905
2003-07-28,13752.0,2.8955
2003-07-29,13652.0,2.938
2003-07-30,13623.0,2.9825
2003-07-31,13475.0,2.9675
2003-08-01,13579.0,3.0285
2003-08-04,13128.0,3.07
2003-08-05,12940.0,3.0085
2003-08-06,13060.0,3.052
2003-08-07,12892.0,2.987
2003-08-08,13333.0,2.987
2003-08-11,13500.0,3.009
2003-08-12,13559.0,3.028
2003-08-13,13597.0,3.008
2003-08-14,13683.0,3.0055
2003-08-15,13810.0,2.991
2003-08-18,13900.0,2.993
2003-08-19,14147.0,2.994
2003-08-20,14158.0,3.005
2003-08-21,14470.0,3.0035
2003-08-22,14670.0,2.986
2003-08-25,14613.0,3.0015
2003-08-26,14475.0,2.9725
2003-08-27,14876.0,2.9565
2003-08-28,15151.0,2.9555
2003-08-29,15065.0,2.9785
2003-09-01,15174.0,2.988
2003-09-02,15352.0,2.956
2003-09-03,15455.0,2.9655
2003-09-04,15635.0,2.937
2003-09-05,15707.0,2.906
2003-09-08,15904.0,2.9505
2003-09-09,16051.0,2.9225
2003-09-10,15716.0,2.891
2003-09-11,15985.0,2.9125
2003-09-12,16283.0,2.902
2003-09-15,16423.0,2.885
2003-09-16,16354.0,2.913
2003-09-17,16280.0,2.9055
2003-09-18,16492.0,2.9025
2003-09-19,16890.0,2.9025
2003-09-22,16850.0,2.893
2003-09-23,16488.0,2.93
2003-09-24,16446.0,2.9155
2003-09-25,16058.0,2.9405
2003-09-26,15807.0,2.9335
2003-09-29,15810.0,2.926
2003-09-30,16109.0,2.8925
2003-10-01,16010.0,2.897
2003-10-02,16582.0,2.8825
2003-10-03,16898.0,2.886
2003-10-06,17090.0,2.866
2003-10-07,17278.0,2.855
2003-10-08,17474.0,2.84
2003-10-09,17805.0,2.8275
2003-10-10,17699.0,2.83
2003-10-13,17676.0,2.8445
2003-10-14,18063.0,2.8355
2003-10-15,18176.0,2.8375
2003-10-16,17944.0,2.8505
2003-10-17,17923.0,2.869
2003-10-20,17791.0,2.862
2003-10-21,18370.0,2.846
2003-10-22,18449.0,2.86
2003-10-23,18235.0,2.86
2003-10-24,17687.0,2.87
2003-10-27,17820.0,2.8755
2003-10-28,17750.0,2.851
2003-10-29,18228.0,2.837
2003-10-30,17945.0,2.8495
2003-10-31,18095.0,2.8665
2003-11-03,17983.0,2.8495
2003-11-04,18519.0,2.8625
2003-11-05,18545.0,2.868
2003-11-06,18307.0,2.876
2003-11-07,18614.0,2.857
2003-11-10,18672.0,2.8835
2003-11-11,18572.0,2.907
2003-11-12,18409.0,2.902
2003-11-13,18795.0,2.9465
2003-11-14,18763.0,2.9495
